iter	Passed	Remaining
0	0	66
1	1	56
2	1	52
3	1	47
4	2	46
5	2	45
6	3	44
7	3	44
8	4	43
9	4	42
10	5	42
11	5	41
12	6	41
13	6	40
14	7	40
15	7	39
16	8	39
17	8	38
18	8	38
19	9	37
20	9	37
21	10	36
22	10	35
23	11	35
24	11	35
25	12	34
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	16	31
34	16	30
35	17	30
36	17	29
37	18	29
38	18	28
39	18	28
40	19	28
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	22	24
47	22	24
48	23	23
49	23	23
50	23	22
51	24	22
52	24	22
53	25	21
54	25	20
55	25	20
56	26	19
57	26	19
58	27	19
59	27	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	31	14
69	32	13
70	32	13
71	33	12
72	33	12
73	34	12
74	34	11
75	35	11
76	35	10
77	36	10
78	36	9
79	36	9
80	37	8
81	37	8
82	38	7
83	38	7
84	39	6
85	39	6
86	40	5
87	40	5
88	40	5
89	41	4
90	41	4
91	42	3
92	42	3
93	43	2
94	43	2
95	44	1
96	44	1
97	45	0
98	45	0
99	45	0
